"FIPS"	"Geographic Identifier"	"Name of Area"	"Qualifying Name"	"State/U.S.-Abbreviation (USPS)"	"Summary Level"	"Geographic Component"	"File Identification"	"Logical Record Number"	"US"	"Region"	"Division"	"State (Census Code)"	"State (FIPS)"	"County"	"County Subdivision (FIPS)"	"Place (FIPS Code)"	"Place (State FIPS + Place FIPS)"	"Census Tract"	"Block Group"	"Consolidated City"	"American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)"	"American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)"	"American Indian Trust Land/Hawaiian Home Land Indicator"	"American Indian Tribal Subdivision (Census)"	"American Indian Tribal Subdivision (FIPS)"	"Alaska Native Regional Corporation (FIPS)"	"Metropolitan and Micropolitan Statistical Area"	"Combined Statistical Area"	"Metropolitan Division"	"Metropolitan Area Central City"	"Metropolitan/Micropolitan Indicator Flag"	"New England City and Town Combined Statistical Area"	"New England City and Town Area"	"New England City and Town Area Division"	"Urban Area"	"Urban Area Central Place"	"Current Congressional District 111"	"State Legislative District Upper"	"State Legislative District Lower"	"Voting District"	"ZIP Code Tabulation Area (3-digit)"	"ZIP Code Tabulation Area (5-digit)"	"Subbarrio (FIPS)"	"School District (Elementary)"	"School District (Secondary)"	"School District (Unified)"	"Urban/Rural"	"Principal City Indicator"	"Traffic Analysis Zone"	"Urban Growth Area"	"Public Use Microdata Area - 5% File"	"Public Use Microdata Area - 1% File"	"Total Population"	"Total Population"	"Total Population: Not Hispanic or Latino"	"Total Population: Not Hispanic or Latino: White Alone"	"Total Population: Not Hispanic or Latino: Black or African American Alone"	"Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone"	"Total Population: Not Hispanic or Latino: Asian Alone"	"Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"Total Population: Not Hispanic or Latino: Some Other Race Alone"	"Total Population: Not Hispanic or Latino: Two or More Races"	"Total Population: Hispanic or Latino"	"Total Population: Hispanic or Latino: White Alone"	"Total Population: Hispanic or Latino: Black or African American Alone"	"Total Population: Hispanic or Latino: American Indian and Alaska Native Alone"	"Total Population: Hispanic or Latino: Asian Alone"	"Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"Total Population: Hispanic or Latino: Some Other Race Alone"	"Total Population: Hispanic or Latino: Two or More Races"	"% Total Population: Not Hispanic or Latino"	"% Total Population: Not Hispanic or Latino: White Alone"	"% Total Population: Not Hispanic or Latino: Black or African American Alone"	"% Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone"	"% Total Population: Not Hispanic or Latino: Asian Alone"	"% Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"% Total Population: Not Hispanic or Latino: Some Other Race Alone"	"% Total Population: Not Hispanic or Latino: Two or More Races"	"% Total Population: Hispanic or Latino"	"% Total Population: Hispanic or Latino: White Alone"	"% Total Population: Hispanic or Latino: Black or African American Alone"	"% Total Population: Hispanic or Latino: American Indian and Alaska Native Alone"	"% Total Population: Hispanic or Latino: Asian Alone"	"% Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"% Total Population: Hispanic or Latino: Some Other Race Alone"	"% Total Population: Hispanic or Latino: Two or More Races"	"Total Population:"	"Total Population: White Alone"	"Total Population: Black or African American Alone"	"Total Population: American Indian and Alaska Native Alone"	"Total Population: Asian Alone"	"Total Population: Native Hawaiian and Other Pacific Islander Alone"	"Total Population: Some Other Race Alone"	"Total Population: Two or More Races"	"% Total Population: White Alone"	"% Total Population: Black or African American Alone"	"% Total Population: American Indian and Alaska Native Alone"	"% Total Population: Asian Alone"	"% Total Population: Native Hawaiian and Other Pacific Islander Alone"	"% Total Population: Some Other Race Alone"	"% Total Population: Two or More Races"	"Civilian Population in Labor Force 16 Years and Over:"	"Civilian Population in Labor Force 16 Years and Over: Employed"	"Civilian Population in Labor Force 16 Years and Over: Unemployed"	"% Civilian Population in Labor Force 16 Years and Over: Employed"	"% Civilian Population in Labor Force 16 Years and Over: Unemployed"	"Total Population:"	"Total Population: Native Born"	"Total Population: Foreign Born"	"Total Population: Foreign Born: Naturalized Citizen"	"Total Population: Foreign Born: Not a Citizen"	"% Total Population: Native Born"	"% Total Population: Foreign Born"	"% Total Population: Foreign Born: Naturalized Citizen"	"% Total Population: Foreign Born: Not a Citizen"	"Total Population:"	"Total Population: Under 5 Years"	"Total Population: 5 to 9 Years"	"Total Population: 10 to 14 Years"	"Total Population: 15 to 17 Years"	"Total Population: 18 to 24 Years"	"Total Population: 25 to 34 Years"	"Total Population: 35 to 44 Years"	"Total Population: 45 to 54 Years"	"Total Population: 55 to 64 Years"	"Total Population: 65 to 74 Years"	"Total Population: 75 to 84 Years"	"Total Population: 85 Years and Over"	"% Total Population: Under 5 Years"	"% Total Population: 5 to 9 Years"	"% Total Population: 10 to 14 Years"	"% Total Population: 15 to 17 Years"	"% Total Population: 18 to 24 Years"	"% Total Population: 25 to 34 Years"	"% Total Population: 35 to 44 Years"	"% Total Population: 45 to 54 Years"	"% Total Population: 55 to 64 Years"	"% Total Population: 65 to 74 Years"	"% Total Population: 75 to 84 Years"	"% Total Population: 85 Years and Over"	"Population Age 18 to 64 for Whom Poverty Status  Is Determined:"	"Population Age 18 to 64 for Whom Poverty Status  Is Determined: Living in Poverty"	"Population Age 18 to 64 for Whom Poverty Status  Is Determined: At or Above Poverty Level"	"% Population Age 18 to 64 for Whom Poverty Status  Is Determined: Living in Poverty"	"% Population Age 18 to 64 for Whom Poverty Status  Is Determined: At or Above Poverty Level"
Geo_FIPS	Geo_GEOID	Geo_NAME	Geo_QName	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_FILEID	Geo_LOGRECNO	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_PLACESE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_UACP	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_VTD	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_TAZ	Geo_UGA	Geo_PUMA5	Geo_PUMA1	SE_A00001_001	SE_A04001_001	SE_A04001_002	SE_A04001_003	SE_A04001_004	SE_A04001_005	SE_A04001_006	SE_A04001_007	SE_A04001_008	SE_A04001_009	SE_A04001_010	SE_A04001_011	SE_A04001_012	SE_A04001_013	SE_A04001_014	SE_A04001_015	SE_A04001_016	SE_A04001_017	PCT_SE_A04001_002	PCT_SE_A04001_003	PCT_SE_A04001_004	PCT_SE_A04001_005	PCT_SE_A04001_006	PCT_SE_A04001_007	PCT_SE_A04001_008	PCT_SE_A04001_009	PCT_SE_A04001_010	PCT_SE_A04001_011	PCT_SE_A04001_012	PCT_SE_A04001_013	PCT_SE_A04001_014	PCT_SE_A04001_015	PCT_SE_A04001_016	PCT_SE_A04001_017	SE_A03001_001	SE_A03001_002	SE_A03001_003	SE_A03001_004	SE_A03001_005	SE_A03001_006	SE_A03001_007	SE_A03001_008	PCT_SE_A03001_002	PCT_SE_A03001_003	PCT_SE_A03001_004	PCT_SE_A03001_005	PCT_SE_A03001_006	PCT_SE_A03001_007	PCT_SE_A03001_008	SE_A17005_001	SE_A17005_002	SE_A17005_003	PCT_SE_A17005_002	PCT_SE_A17005_003	SE_A06001_001	SE_A06001_002	SE_A06001_003	SE_A06001_004	SE_A06001_005	PCT_SE_A06001_002	PCT_SE_A06001_003	PCT_SE_A06001_004	PCT_SE_A06001_005	SE_A01001_001	SE_A01001_002	SE_A01001_003	SE_A01001_004	SE_A01001_005	SE_A01001_006	SE_A01001_007	SE_A01001_008	SE_A01001_009	SE_A01001_010	SE_A01001_011	SE_A01001_012	SE_A01001_013	PCT_SE_A01001_002	PCT_SE_A01001_003	PCT_SE_A01001_004	PCT_SE_A01001_005	PCT_SE_A01001_006	PCT_SE_A01001_007	PCT_SE_A01001_008	PCT_SE_A01001_009	PCT_SE_A01001_010	PCT_SE_A01001_011	PCT_SE_A01001_012	PCT_SE_A01001_013	SE_A13003B_001	SE_A13003B_002	SE_A13003B_003	PCT_SE_A13003B_002	PCT_SE_A13003B_003
"01"	"04000US01"	"Alabama"	"Alabama"	"al"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	4785298	4785298	4602503	3206485	1256566	24291	52313	553	2095	60200	182795	117791	6414	3477	476	53	49598	4986	96.18	67.01	26.26	0.51	1.09	0.01	0.04	1.26	3.82	2.46	0.13	0.07	0.01	0	1.04	0.1	4785298	3324276	1262980	27768	52789	606	51693	65186	69.47	26.39	0.58	1.1	0.01	1.08	1.36	2244208	1978825	265383	88.17	11.83	4785298	4616702	168596	48099	120497	96.48	3.52	1.01	2.52	4785298	308069	309658	318460	199241	488349	601653	621094	689027	591773	369627	212903	75444	6.44	6.47	6.65	4.16	10.21	12.57	12.98	14.4	12.37	7.72	4.45	1.58	2908907	509494	2399413	17.51	82.49
"02"	"04000US02"	"Alaska"	"Alaska"	"ak"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"02"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	713985	713985	673280	457264	22712	101346	37754	7102	1019	46083	40705	24182	1999	3193	1364	536	5477	3954	94.3	64.04	3.18	14.19	5.29	0.99	0.14	6.45	5.7	3.39	0.28	0.45	0.19	0.08	0.77	0.55	713985	481446	24711	104539	39118	7638	6496	50037	67.43	3.46	14.64	5.48	1.07	0.91	7.01	373703	337683	36020	90.36	9.64	713985	664666	49319	24102	25217	93.09	6.91	3.38	3.53	713985	53582	49870	52372	32561	75023	103690	93460	112229	87859	34197	15070	4072	7.5	6.98	7.34	4.56	10.51	14.52	13.09	15.72	12.31	4.79	2.11	0.57	460818	42575	418243	9.24	90.76
"04"	"04000US04"	"Arizona"	"Arizona"	"az"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	6413737	6413737	4504823	3703810	248863	260558	170843	11818	6202	102729	1908914	1391568	15146	25210	3196	362	406604	66828	70.24	57.75	3.88	4.06	2.66	0.18	0.1	1.6	29.76	21.7	0.24	0.39	0.05	0.01	6.34	1.04	6413737	5095378	264009	285768	174039	12180	412806	169557	79.44	4.12	4.46	2.71	0.19	6.44	2.64	3011568	2655557	356011	88.18	11.82	6413737	5557074	856663	310835	545828	86.64	13.36	4.85	8.51	6413737	455776	448623	457339	270673	634568	859440	823770	843493	733260	501788	280081	104926	7.11	6.99	7.13	4.22	9.89	13.4	12.84	13.15	11.43	7.82	4.37	1.64	3791018	634411	3156607	16.73	83.27
"05"	"04000US05"	"Arkansas"	"Arkansas"	"ar"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"05"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2921606	2921606	2738932	2176442	462053	17049	32837	5023	3556	41972	182674	113253	2358	1576	403	67	57832	7185	93.75	74.49	15.82	0.58	1.12	0.17	0.12	1.44	6.25	3.88	0.08	0.05	0.01	0	1.98	0.25	2921606	2289695	464411	18625	33240	5090	61388	49157	78.37	15.9	0.64	1.14	0.17	2.1	1.68	1377434	1245328	132106	90.41	9.59	2921606	2789939	131667	36435	95232	95.49	4.51	1.25	3.26	2921606	194451	195858	201519	119302	291054	368047	371843	405044	354413	235270	132036	52769	6.66	6.7	6.9	4.08	9.96	12.6	12.73	13.86	12.13	8.05	4.52	1.81	1735591	300441	1435150	17.31	82.69
"06"	"04000US06"	"California"	"California"	"ca"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"06"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	37349363	37349363	23259952	14948814	2154356	149096	4836727	133612	73493	963854	14089411	8374140	91997	132812	64236	9320	4812480	604426	62.28	40.02	5.77	0.4	12.95	0.36	0.2	2.58	37.72	22.42	0.25	0.36	0.17	0.02	12.89	1.62	37349363	23322954	2246353	281908	4900963	142932	4885973	1568280	62.45	6.01	0.75	13.12	0.38	13.08	4.2	18625515	16243172	2382343	87.21	12.79	37349363	27198934	10150429	4633509	5516920	72.82	27.18	12.41	14.77	37349363	2528898	2536654	2578286	1663391	3944934	5323453	5191065	5245537	4067650	2291045	1364357	614093	6.77	6.79	6.9	4.45	10.56	14.25	13.9	14.04	10.89	6.13	3.65	1.64	23258720	3363215	19895505	14.46	85.54
"08"	"04000US08"	"Colorado"	"Colorado"	"co"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"08"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	5049071	5049071	4001371	3528477	189658	26890	131852	4313	6092	114089	1047700	679888	8459	22718	1944	609	275934	58148	79.25	69.88	3.76	0.53	2.61	0.09	0.12	2.26	20.75	13.47	0.17	0.45	0.04	0.01	5.47	1.15	5049071	4208365	198117	49608	133796	4922	282026	172237	83.35	3.92	0.98	2.65	0.1	5.59	3.41	2714224	2446674	267550	90.14	9.86	5049071	4551966	497105	177346	319759	90.15	9.85	3.51	6.33	5049071	342277	354521	330545	201335	492348	728299	703506	741051	603551	310844	168956	71838	6.78	7.02	6.55	3.99	9.75	14.42	13.93	14.68	11.95	6.16	3.35	1.42	3184632	406095	2778537	12.75	87.25
"09"	"04000US09"	"Connecticut"	"Connecticut"	"ct"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"09"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	3577073	3577073	3095172	2540999	335151	4363	133888	1238	15703	63830	481901	256957	21729	1271	450	79	174258	27157	86.53	71.04	9.37	0.12	3.74	0.03	0.44	1.78	13.47	7.18	0.61	0.04	0.01	0	4.87	0.76	3577073	2797956	356880	5634	134338	1317	189961	90987	78.22	9.98	0.16	3.76	0.04	5.31	2.54	1939959	1736446	203513	89.51	10.49	3577073	3089953	487120	228059	259061	86.38	13.62	6.38	7.24	3577073	201685	222475	241092	150036	327402	421750	484117	575026	445337	258657	161882	87614	5.64	6.22	6.74	4.19	9.15	11.79	13.53	16.08	12.45	7.23	4.53	2.45	2176311	214714	1961597	9.87	90.13
"10"	"04000US10"	"Delaware"	"Delaware"	"de"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	899769	899769	825927	587891	189585	1922	27359	553	1153	17464	73842	48161	2041	548	123	638	16699	5632	91.79	65.34	21.07	0.21	3.04	0.06	0.13	1.94	8.21	5.35	0.23	0.06	0.01	0.07	1.86	0.63	899769	636052	191626	2470	27482	1191	17852	23096	70.69	21.3	0.27	3.05	0.13	1.98	2.57	453206	411120	42086	90.71	9.29	899769	827901	71868	33473	38395	92.01	7.99	3.72	4.27	899769	56095	56077	56954	36943	92921	110516	116236	132954	111603	72670	40427	16373	6.23	6.23	6.33	4.11	10.33	12.28	12.92	14.78	12.4	8.08	4.49	1.82	546305	57084	489221	10.45	89.55
"11"	"04000US11"	"District of Columbia"	"District of Columbia"	"dc"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	604453	604453	549197	210100	304968	1304	21552	233	901	10139	55256	32805	4253	623	0	0	15924	1651	90.86	34.76	50.45	0.22	3.57	0.04	0.15	1.68	9.14	5.43	0.7	0.1	0	0	2.63	0.27	604453	242905	309221	1927	21552	233	16825	11790	40.19	51.16	0.32	3.57	0.04	2.78	1.95	341495	299127	42368	87.59	12.41	604453	522719	81734	32412	49322	86.48	13.52	5.36	8.16	604453	32861	27268	23969	17169	86362	126322	81404	75377	64294	37510	21240	10677	5.44	4.51	3.97	2.84	14.29	20.9	13.47	12.47	10.64	6.21	3.51	1.77	403628	70100	333528	17.37	82.63
